 Year Mon  Area
 1874  5  124.7
 1874  6  291.4
 1874  7  687.4
 1874  8  439.7
 1874  9   39.5
 1874 10   59.0
 1874 11  258.0
 1874 12  166.3
 1875  1   59.7
 1875  2  323.8
 1875  3  260.6
 1875  4  197.2
 1875  5  134.8
 1875  6  141.1
 1875  7   62.1
 1875  8  123.8
 1875  9   10.1
 1875 10  105.6
 1875 11   56.7
 1875 12    0.4
 1876  1   25.7
 1876  2   11.1
 1876  3  169.1
 1876  4    7.1
 1876  5    0.0
 1876  6   12.8
 1876  7    6.6
 1876  8    2.8
 1876  9    1.2
 1876 10    0.0
 1876 11   29.7
 1876 12  149.3
 1877  1  183.9
 1877  2   63.4
 1877  3    5.0
 1877  4   20.2
 1877  5   63.1
 1877  6    0.0
 1877  7    2.8
 1877  8   34.9
 1877  9   50.9
 1877 10    0.0
 1877 11    0.0
 1877 12    1.1
 1878  1   14.9
 1878  2    0.0
 1878  3   47.9
 1878  4    0.4
 1878  5   51.5
 1878  6   40.5
 1878  7    0.4
 1878  8    0.0
 1878  9   57.2
 1878 10    9.6
 1878 11   23.6
 1878 12    0.0
 1879  1    0.0
 1879  2    0.0
 1879  3    0.0
 1879  4    0.0
 1879  5    5.8
 1879  6    0.0
 1879  7   27.8
 1879  8   35.2
 1879  9   41.3
 1879 10   22.3
 1879 11   10.5
 1879 12    0.0
 1880  1  163.1
 1880  2  239.9
 1880  3   90.9
 1880  4  199.3
 1880  5  408.3
 1880  6  124.0
 1880  7  113.0
 1880  8  702.1
 1880  9  322.0
 1880 10  297.5
 1880 11  377.2
 1880 12  220.0
 1881  1  296.1
 1881  2  424.8
 1881  3  363.6
 1881  4  210.0
 1881  5  132.9
 1881  6  321.7
 1881  7  678.8
 1881  8  618.3
 1881  9  675.4
 1881 10  516.9
 1881 11  706.2
 1881 12  478.9
 1882  1  272.2
 1882  2  326.2
 1882  3  240.7
 1882  4  323.3
 1882  5  582.7
 1882  6  235.2
 1882  7  307.4
 1882  8  397.3
 1882  9  657.6
 1882 10  740.8
 1882 11 1049.8
 1882 12  170.0
 1883  1  258.9
 1883  2  476.1
 1883  3  142.1
 1883  4  388.0
 1883  5  151.0
 1883  6  367.0
 1883  7  425.1
 1883  8   93.0
 1883  9  320.4
 1883 10  462.8
 1883 11  504.9
 1883 12  346.9
 1884  1  910.0
 1884  2  988.3
 1884  3  407.5
 1884  4   99.7
 1884  5  289.2
 1884  6  169.0
 1884  7  273.0
 1884  8  379.2
 1884  9  768.4
 1884 10  394.5
 1884 11  125.8
 1884 12  611.4
 1885  1   97.7
 1885  2  262.3
 1885  3  143.2
 1885  4  473.3
 1885  5  659.8
 1885  6  639.4
 1885  7  183.0
 1885  8  139.2
 1885  9  194.1
 1885 10  166.1
 1885 11  266.8
 1885 12  169.9
 1886  1   48.1
 1886  2   24.3
 1886  3  358.3
 1886  4   93.2
 1886  5  305.7
 1886  6   43.4
 1886  7   46.9
 1886  8   29.3
 1886  9  148.4
 1886 10   12.9
 1886 11    0.0
 1886 12   58.4
 1887  1    0.0
 1887  2   36.5
 1887  3   27.3
 1887  4   42.8
 1887  5  131.6
 1887  6   20.5
 1887  7  113.5
 1887  8   29.1
 1887  9  117.8
 1887 10    0.7
 1887 11    0.4
 1887 12    0.0
 1888  1    9.6
 1888  2    0.0
 1888  3   73.8
 1888  4    3.8
 1888  5    0.0
 1888  6   13.1
 1888  7    1.6
 1888  8    4.1
 1888  9    0.6
 1888 10    0.0
 1888 11  126.9
 1888 12    0.0
 1889  1    2.4
 1889  2    0.0
 1889  3   17.7
 1889  4   25.9
 1889  5    0.0
 1889  6    0.0
 1889  7    3.4
 1889  8    0.0
 1889  9    0.0
 1889 10    1.4
 1889 11    0.0
 1889 12    5.4
 1890  1   32.5
 1890  2    0.6
 1890  3   69.5
 1890  4    6.2
 1890  5    4.8
 1890  6    0.0
 1890  7   15.8
 1890  8  149.6
 1890  9  160.9
 1890 10    3.5
 1890 11  147.7
 1890 12   49.2
 1891  1   56.8
 1891  2  232.8
 1891  3  153.6
 1891  4  191.6
 1891  5  281.5
 1891  6  473.9
 1891  7  943.1
 1891  8  342.7
 1891  9 1151.8
 1891 10  353.1
 1891 11  298.5
 1891 12  309.7
 1892  1  735.1
 1892  2  482.8
 1892  3  361.0
 1892  4  506.1
 1892  5  557.9
 1892  6  796.3
 1892  7 1191.1
 1892  8  933.6
 1892  9  585.3
 1892 10  440.9
 1892 11  343.8
 1892 12  290.5
 1893  1  325.2
 1893  2  378.4
 1893  3  496.3
 1893  4  493.3
 1893  5  349.2
 1893  6  362.6
 1893  7  537.8
 1893  8  630.3
 1893  9  593.4
 1893 10  715.6
 1893 11  440.5
 1893 12  876.8
 1894  1  451.8
 1894  2  294.8
 1894  3  450.4
 1894  4  875.7
 1894  5  477.3
 1894  6  890.1
 1894  7  924.0
 1894  8  902.4
 1894  9  329.3
 1894 10  439.4
 1894 11  234.5
 1894 12  265.6
 1895  1  406.9
 1895  2  538.5
 1895  3  555.3
 1895  4  843.0
 1895  5  609.7
 1895  6  633.9
 1895  7   83.0
 1895  8  985.3
 1895  9  526.4
 1895 10  825.4
 1895 11  458.6
 1895 12  343.6
 1896  1   81.4
 1896  2  438.1
 1896  3  178.4
 1896  4  321.5
 1896  5    2.3
 1896  6  123.6
 1896  7   88.9
 1896  8   55.4
 1896  9  790.0
 1896 10   84.3
 1896 11   48.5
 1896 12  259.1
 1897  1  182.2
 1897  2  400.5
 1897  3  284.4
 1897  4  247.2
 1897  5   75.8
 1897  6    3.8
 1897  7   16.7
 1897  8   10.3
 1897  9  185.2
 1897 10   54.1
 1897 11   18.4
 1897 12  714.5
 1898  1  287.4
 1898  2   60.3
 1898  3   92.0
 1898  4    3.8
 1898  5    6.5
 1898  6   23.2
 1898  7   22.4
 1898  8  210.5
 1898  9   91.9
 1898 10  288.5
 1898 11  210.3
 1898 12    5.2
 1899  1    1.3
 1899  2    0.0
 1899  3    5.0
 1899  4   10.1
 1899  5    0.0
 1899  6  167.3
 1899  7   53.9
 1899  8    0.0
 1899  9   11.3
 1899 10    2.6
 1899 11    3.7
 1899 12   25.1
 1900  1   48.8
 1900  2  100.7
 1900  3    4.3
 1900  4   20.5
 1900  5   52.2
 1900  6   61.4
 1900  7    6.4
 1900  8   10.7
 1900  9    5.8
 1900 10    0.0
 1900 11   10.9
 1900 12    0.0
 1901  1    0.0
 1901  2    0.0
 1901  3   12.3
 1901  4    0.0
 1901  5  208.5
 1901  6   33.8
 1901  7    0.0
 1901  8    0.0
 1901  9    0.2
 1901 10    0.0
 1901 11    0.0
 1901 12    0.0
 1902  1    0.2
 1902  2    0.0
 1902  3  179.5
 1902  4    0.0
 1902  5   36.1
 1902  6    5.9
 1902  7    0.3
 1902  8    2.1
 1902  9   17.5
 1902 10   85.9
 1902 11  148.5
 1902 12    2.9
 1903  1   14.5
 1903  2   89.0
 1903  3  121.2
 1903  4  116.1
 1903  5   72.1
 1903  6   77.4
 1903  7   92.5
 1903  8   36.5
 1903  9   58.2
 1903 10  243.2
 1903 11  343.6
 1903 12  314.0
 1904  1  219.0
 1904  2  221.1
 1904  3  228.6
 1904  4  288.7
 1904  5   91.7
 1904  6  251.7
 1904  7  245.0
 1904  8  178.5
 1904  9   61.4
 1904 10  424.9
 1904 11  300.2
 1904 12  711.2
 1905  1  554.1
 1905  2  657.8
 1905  3  797.4
 1905  4  218.7
 1905  5  351.7
 1905  6  436.2
 1905  7 1080.1
 1905  8  731.8
 1905  9  381.2
 1905 10 2011.3
 1905 11 1363.8
 1905 12  407.4
 1906  1  416.3
 1906  2  300.9
 1906  3  744.0
 1906  4  559.6
 1906  5  907.8
 1906  6  605.2
 1906  7 1176.5
 1906  8  289.8
 1906  9  333.6
 1906 10   23.5
 1906 11  282.7
 1906 12  785.9
 1907  1  709.2
 1907  2  788.1
 1907  3  237.0
 1907  4  507.0
 1907  5  156.1
 1907  6   51.4
 1907  7  208.7
 1907  8  340.8
 1907  9  884.6
 1907 10  706.1
 1907 11  859.6
 1907 12  453.1
 1908  1  210.8
 1908  2  101.8
 1908  3   54.9
 1908  4   22.8
 1908  5  175.3
 1908  6  115.4
 1908  7  102.5
 1908  8  713.0
 1908  9 1060.2
 1908 10  185.0
 1908 11  607.4
 1908 12  449.1
 1909  1  818.8
 1909  2  293.9
 1909  3  682.2
 1909  4  124.3
 1909  5   79.3
 1909  6   26.4
 1909  7  506.0
 1909  8   44.8
 1909  9   37.3
 1909 10  186.5
 1909 11  297.8
 1909 12  466.8
 1910  1  111.6
 1910  2    7.9
 1910  3  165.9
 1910  4   34.9
 1910  5   71.5
 1910  6   26.4
 1910  7  128.5
 1910  8    0.0
 1910  9    1.6
 1910 10  214.5
 1910 11   14.4
 1910 12    0.0
 1911  1    0.0
 1911  2   28.6
 1911  3   28.4
 1911  4   46.3
 1911  5   36.9
 1911  6   28.6
 1911  7    9.9
 1911  8    5.3
 1911  9   52.2
 1911 10   17.9
 1911 11    0.4
 1911 12    4.9
 1912  1    0.0
 1912  2    0.0
 1912  3    0.0
 1912  4    0.8
 1912  5    0.4
 1912  6    0.8
 1912  7    0.0
 1912  8    0.0
 1912  9    0.0
 1912 10    0.0
 1912 11    0.0
 1912 12    7.5
 1913  1    8.3
