 Year Mon  Area
 1874  5  240.4
 1874  6  123.8
 1874  7  346.1
 1874  8  514.4
 1874  9  295.8
 1874 10  456.0
 1874 11  207.4
 1874 12   26.2
 1875  1   30.1
 1875  2   75.4
 1875  3  162.4
 1875  4  196.6
 1875  5   10.6
 1875  6  312.9
 1875  7   14.7
 1875  8    0.5
 1875  9   23.9
 1875 10   26.8
 1875 11  137.2
 1875 12   90.7
 1876  1  141.7
 1876  2  252.4
 1876  3   62.4
 1876  4    8.6
 1876  5   37.3
 1876  6    2.5
 1876  7   61.3
 1876  8   31.9
 1876  9  103.2
 1876 10  155.3
 1876 11   39.5
 1876 12    0.0
 1877  1    5.0
 1877  2    2.8
 1877  3   60.7
 1877  4   73.5
 1877  5   22.4
 1877  6   69.0
 1877  7    1.4
 1877  8    0.0
 1877  9   22.1
 1877 10  126.3
 1877 11  283.5
 1877 12   22.2
 1878  1    0.0
 1878  2   18.1
 1878  3    0.0
 1878  4    0.0
 1878  5    0.0
 1878  6    0.5
 1878  7    0.0
 1878  8    0.0
 1878  9    0.0
 1878 10    0.0
 1878 11    0.0
 1878 12    2.0
 1879  1    1.2
 1879  2    0.0
 1879  3    0.0
 1879  4   50.5
 1879  5    0.0
 1879  6   19.6
 1879  7   23.5
 1879  8    3.3
 1879  9    0.0
 1879 10   59.2
 1879 11  101.9
 1879 12   33.8
 1880  1  129.1
 1880  2   97.7
 1880  3   51.7
 1880  4   32.9
 1880  5    0.6
 1880  6  364.1
 1880  7   93.1
 1880  8  119.2
 1880  9  604.5
 1880 10  263.9
 1880 11  105.9
 1880 12  240.6
 1881  1  289.1
 1881  2  251.1
 1881  3  276.9
 1881  4  320.2
 1881  5  244.1
 1881  6  290.7
 1881  7  262.2
 1881  8  119.6
 1881  9  191.6
 1881 10  188.2
 1881 11  134.3
 1881 12  162.2
 1882  1   91.7
 1882  2  346.9
 1882  3  688.1
 1882  4 1475.7
 1882  5  936.9
 1882  6  322.6
 1882  7  154.2
 1882  8  210.3
 1882  9  369.2
 1882 10  653.0
 1882 11  881.4
 1882 12  182.9
 1883  1  590.9
 1883  2  258.7
 1883  3  479.1
 1883  4  744.5
 1883  5  188.4
 1883  6 1084.4
 1883  7 1582.6
 1883  8  502.5
 1883  9  909.8
 1883 10 1330.5
 1883 11 1220.7
 1883 12  958.5
 1884  1  759.8
 1884  2  548.7
 1884  3  799.7
 1884  4 1481.5
 1884  5  921.6
 1884  6  332.6
 1884  7  288.3
 1884  8  347.9
 1884  9  346.8
 1884 10  600.0
 1884 11  312.2
 1884 12  254.5
 1885  1  414.2
 1885  2  820.8
 1885  3  603.8
 1885  4  382.1
 1885  5  399.3
 1885  6 1063.1
 1885  7  972.4
 1885  8  458.8
 1885  9  451.9
